id;video_name;video;video_content_type;date_taken;is_mom_in_picture;is_dad_in_picture;is_family_in_picture
1;deposit e-business;../fake-data/blob/hipster.png;image/png;2022-07-04;false;false;true
2;Ethiopian 4th Namibia;../fake-data/blob/hipster.png;image/png;2022-07-03;false;false;true
3;Outdoors Car Chicken;../fake-data/blob/hipster.png;image/png;2022-07-04;false;false;true
4;migration bluetooth;../fake-data/blob/hipster.png;image/png;2022-07-03;true;false;false
5;firewall;../fake-data/blob/hipster.png;image/png;2022-07-03;true;true;true
6;Sausages 5th invoice;../fake-data/blob/hipster.png;image/png;2022-07-04;false;false;true
7;copy Granite Licensed;../fake-data/blob/hipster.png;image/png;2022-07-03;false;true;true
8;Product Home;../fake-data/blob/hipster.png;image/png;2022-07-04;false;false;true
9;channels;../fake-data/blob/hipster.png;image/png;2022-07-04;false;false;false
10;Buckinghamshire Configuration overriding;../fake-data/blob/hipster.png;image/png;2022-07-04;true;true;false
